cliente_id,tenure_meses,plano,mensalidade,contrato,usuarios_ativos,logins_30d,features_usadas,tickets_suporte,nps,atraso_pagamento_dias,desconto_ativo,integracoes_ativas,churn
C00000,17,Enterprise,494.51,Mensal,106,10,2,3,7,5.0,0,5,0
C00001,23,Basic,45.85,Mensal,1,11,2,2,8,1.3,1,2,0
C00002,15,Basic,48.49,Anual,1,16,5,6,7,2.4,1,5,0
C00003,13,Basic,49.89,Anual,3,12,11,0,5,0.3,0,6,0
C00004,25,Basic,48.8,Mensal,2,8,5,0,5,4.5,0,7,0
C00005,14,Enterprise,460.28,Mensal,55,3,8,2,3,1.9,0,6,0
C00006,19,Pro,163.05,Anual,12,16,9,1,0,0.9,0,5,1
C00007,18,Basic,51.46,Mensal,3,6,12,1,6,1.1,0,3,0
C00008,25,Basic,48.18,Mensal,1,6,1,3,8,1.2,0,0,1
C00009,12,Basic,48.28,Mensal,2,8,19,2,4,1.0,0,3,0
C00010,30,Basic,49.88,Mensal,2,7,2,0,8,1.1,0,6,0
C00011,9,Basic,46.23,Anual,3,22,19,1,0,0.5,0,3,0
C00012,20,Pro,151.4,Mensal,20,8,6,3,1,1.5,1,7,0
C00013,18,Pro,139.09,Mensal,3,9,8,1,3,0.4,1,4,0
C00014,9,Basic,48.83,Bienal,4,12,2,3,3,4.8,0,0,0
C00015,21,Pro,140.29,Anual,11,19,7,2,5,2.5,1,6,0
C00016,12,Pro,140.67,Mensal,16,8,18,0,0,1.7,0,3,0
C00017,7,Basic,53.03,Mensal,1,10,13,3,1,5.3,0,0,1
C00018,23,Pro,149.44,Anual,17,9,12,3,7,0.1,1,5,0
C00019,5,Pro,150.55,Mensal,30,5,7,6,8,1.1,0,3,0
C00020,8,Pro,134.02,Mensal,15,12,18,2,8,5.0,1,6,0
C00021,15,Basic,47.54,Mensal,2,10,15,3,3,1.3,0,6,1
C00022,25,Basic,50.13,Mensal,2,11,5,3,7,1.7,0,7,0
C00023,22,Basic,49.48,Anual,1,20,12,1,2,0.1,0,7,0
C00024,17,Basic,43.72,Mensal,4,4,8,4,9,0.9,0,6,1
C00025,3,Basic,49.51,Mensal,3,10,4,2,0,0.2,0,1,0
C00026,9,Pro,151.73,Mensal,8,15,13,1,6,6.7,0,6,0
C00027,11,Basic,52.15,Mensal,1,6,8,5,0,2.6,0,0,1
C00028,6,Basic,47.39,Mensal,3,7,2,0,9,1.7,0,3,0
C00029,2,Enterprise,443.06,Anual,109,8,17,2,2,5.8,0,6,0
C00030,15,Basic,46.56,Mensal,1,12,12,1,0,0.9,1,7,0
C00031,22,Basic,46.31,Mensal,4,10,11,0,4,2.8,0,7,0
C00032,10,Pro,154.49,Mensal,14,5,19,3,9,0.5,0,1,0
C00033,24,Basic,42.34,Anual,1,12,14,3,1,0.7,0,5,0
C00034,4,Basic,47.9,Mensal,2,10,19,1,2,0.4,0,0,1
C00035,6,Pro,159.62,Bienal,25,14,14,1,5,4.5,0,4,0
C00036,15,Basic,49.02,Anual,1,7,4,2,9,4.2,0,2,0
C00037,9,Basic,51.2,Mensal,2,2,10,2,2,0.1,0,1,1
C00038,21,Basic,44.98,Anual,4,13,10,3,3,3.3,0,5,0
C00039,19,Pro,137.07,Mensal,16,3,6,2,10,1.8,0,7,0
C00040,10,Basic,52.52,Bienal,2,13,6,0,7,1.0,1,2,1
C00041,4,Pro,149.75,Bienal,20,12,12,2,6,1.2,0,5,0
C00042,9,Basic,49.25,Mensal,4,12,8,2,3,4.9,0,6,0
C00043,19,Pro,140.67,Anual,16,15,3,3,8,2.3,0,5,0
C00044,21,Basic,49.25,Mensal,2,5,12,4,10,1.0,1,2,0
C00045,9,Basic,46.19,Mensal,2,7,12,2,4,1.0,0,7,0
C00046,2,Basic,51.91,Anual,3,20,16,2,10,0.4,1,5,0
C00047,4,Pro,169.32,Bienal,7,11,2,2,2,1.7,0,7,0
C00048,18,Basic,50.19,Mensal,4,8,9,4,9,0.5,0,1,0
C00049,10,Basic,47.44,Anual,5,12,18,1,4,3.9,0,0,0
C00050,10,Basic,42.79,Anual,2,16,6,4,2,1.1,0,5,1
C00051,6,Basic,44.87,Mensal,3,6,15,2,4,2.5,1,0,0
C00052,6,Pro,160.58,Anual,22,13,7,3,4,6.5,0,1,0
C00053,24,Basic,46.48,Anual,5,16,4,1,6,1.7,1,1,0
C00054,18,Basic,48.09,Anual,4,23,14,2,8,0.1,0,1,0
C00055,8,Basic,50.61,Bienal,1,12,15,2,10,1.1,0,7,0
C00056,14,Basic,52.63,Mensal,2,8,18,1,1,2.7,1,6,0
C00057,16,Basic,48.51,Mensal,3,6,14,0,2,10.2,0,4,1
C00058,38,Basic,48.01,Mensal,2,9,6,0,9,2.5,1,5,0
C00059,5,Basic,49.18,Mensal,5,10,14,1,1,1.6,0,5,0
C00060,16,Enterprise,483.34,Mensal,132,7,1,3,3,8.0,0,6,0
C00061,24,Basic,47.59,Anual,2,19,7,5,7,0.8,0,2,0
C00062,35,Pro,152.07,Mensal,14,10,5,3,5,0.7,1,5,0
C00063,8,Basic,49.45,Anual,2,11,10,0,0,0.9,1,3,0
C00064,10,Basic,54.22,Mensal,2,4,14,2,1,0.7,1,4,0
C00065,21,Basic,50.08,Mensal,2,10,12,3,8,1.2,0,2,0
C00066,3,Basic,51.82,Anual,4,9,4,1,3,1.5,0,6,0
C00067,17,Pro,141.02,Anual,9,15,8,1,8,0.3,0,7,0
C00068,46,Pro,152.91,Mensal,1,5,2,3,7,3.5,0,7,1
C00069,18,Pro,143.61,Bienal,5,14,11,4,9,2.5,0,3,0
C00070,1,Pro,151.95,Mensal,8,10,15,3,6,2.6,0,0,0
C00071,7,Basic,50.69,Mensal,2,5,5,0,0,3.4,0,6,0
C00072,8,Basic,49.12,Mensal,3,4,11,0,1,3.5,0,0,1
C00073,28,Pro,166.93,Anual,8,15,17,0,2,1.4,0,1,0
C00074,12,Basic,52.5,Mensal,1,9,3,3,1,3.6,1,7,0
C00075,2,Basic,51.88,Anual,1,10,19,1,6,0.6,1,2,0
C00076,13,Enterprise,518.07,Mensal,44,9,7,2,5,10.7,0,4,0
C00077,15,Enterprise,543.0,Mensal,62,10,7,0,3,3.5,0,1,0
C00078,9,Pro,138.29,Anual,11,16,14,0,6,0.3,0,2,0
C00079,6,Basic,52.36,Mensal,3,10,7,2,9,0.4,0,2,0
C00080,50,Pro,141.62,Mensal,9,6,8,2,4,2.1,0,1,0
C00081,24,Basic,47.62,Mensal,2,13,5,2,5,0.6,1,5,0
C00082,25,Basic,50.38,Mensal,2,9,3,0,9,1.9,0,5,0
C00083,12,Basic,52.02,Mensal,3,2,17,0,4,1.7,0,1,1
C00084,8,Enterprise,470.22,Mensal,75,5,2,1,0,0.7,0,7,1
C00085,9,Enterprise,486.21,Mensal,113,9,4,0,2,0.0,1,4,0
C00086,4,Pro,149.73,Mensal,8,11,16,4,2,0.2,0,5,0
C00087,37,Basic,48.54,Mensal,2,7,16,2,6,0.9,1,0,0
C00088,12,Basic,51.09,Mensal,2,7,5,2,4,0.4,0,3,0
C00089,32,Basic,57.42,Mensal,1,5,16,1,3,1.5,0,7,0
C00090,10,Pro,152.12,Anual,14,21,14,7,9,3.3,0,6,0
C00091,18,Basic,47.2,Anual,5,11,7,1,4,0.4,0,0,0
C00092,15,Basic,45.82,Mensal,1,14,2,4,5,1.7,0,5,0
C00093,4,Pro,146.58,Mensal,14,10,15,3,2,0.7,0,6,0
C00094,40,Basic,46.7,Mensal,1,5,13,2,5,1.1,1,1,0
C00095,10,Pro,152.48,Mensal,6,8,9,2,6,0.8,0,6,0
C00096,5,Basic,50.11,Mensal,2,5,6,3,10,4.1,0,1,0
C00097,21,Pro,145.55,Anual,12,9,7,1,9,1.3,0,7,0
C00098,13,Basic,53.86,Anual,2,11,6,0,0,0.5,0,0,0
C00099,17,Basic,47.2,Mensal,2,6,17,1,0,5.9,0,5,0
C00100,14,Basic,48.71,Bienal,1,19,4,0,9,0.0,1,1,0
C00101,1,Basic,50.57,Mensal,2,6,9,3,2,0.7,0,4,0
C00102,6,Pro,155.65,Anual,18,19,13,4,0,3.6,0,6,1
C00103,6,Basic,52.13,Anual,1,21,2,3,7,2.6,0,4,0
C00104,25,Basic,50.05,Mensal,2,7,10,0,10,4.1,0,5,0
C00105,14,Pro,156.83,Mensal,16,6,13,2,7,2.6,0,6,0
C00106,19,Basic,47.37,Mensal,2,7,11,4,1,1.2,0,2,0
C00107,10,Pro,155.84,Bienal,17,20,13,3,3,5.4,1,6,0
C00108,20,Pro,155.74,Mensal,5,6,10,7,3,0.7,0,0,1
C00109,12,Basic,52.71,Anual,4,19,13,1,3,2.2,0,4,0
C00110,11,Pro,136.57,Mensal,17,12,19,3,6,4.1,0,6,0
C00111,15,Basic,46.78,Mensal,3,8,7,3,8,0.6,0,5,0
C00112,14,Basic,51.02,Anual,4,17,7,3,3,0.8,0,2,0
C00113,60,Basic,42.5,Mensal,2,11,13,3,6,2.3,0,7,0
C00114,6,Pro,152.67,Mensal,11,8,2,2,5,0.4,0,7,1
C00115,3,Pro,156.9,Bienal,23,14,6,4,4,1.3,1,0,0
